Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,service_count,avg_monthly_value,revenue_per_month,engagement_score,is_new_customer,contract_risk,payment_risk,monthly_x_tenure,has_internet,has_family,low_engagement,high_risk,cluster,segment,churn_probability,churn_prediction,predicted_value,value_score,recommended_action,customer_category,customer_id_display
0,0,0,1,No,DSL,No,No,No,No,Yes,Yes,month-to-month,1,Mailed check,64.7,1093.1,1,True,False,False,True,False,False,False,False,False,True,1-2 years,1,60.727777777777774,64.7,18.54,0,2,0,1099.9,1,0,1,0,1,Low Value New,0.3506253430324776,1,1494.3842,0.21483897, Maintain / Monitor,Stable Customer,10
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,69.7,316.9,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,52.81666666666666,69.7,15.94,1,2,1,348.5,1,0,1,0,1,Low Value New,0.3000783016818734,0,356.09033,0.09044112, Maintain / Monitor,Stable Customer,11
0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,106.35,3549.25,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,101.40714285714286,106.35,31.97,0,2,1,3615.9,1,0,1,0,0,High Value Loyal,0.2763609211978968,0,3726.273,0.45874974, Maintain / Monitor,Stable Customer,12
0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,92.11666666666667,97.85,23.37,1,2,0,1076.35,1,0,1,0,1,Low Value New,0.2806904663779435,0,1121.4408,0.17408204, Maintain / Monitor,Stable Customer,13
0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,80.65,144.15,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,48.05,80.65,17.230000000000004,1,2,1,161.3,1,0,1,0,1,Low Value New,0.5150731587755869,1,321.35675,0.08664528, Maintain / Monitor,Stable Customer,14
0,0,1,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,month-to-month,1,Credit card (automatic),99.1,1426.4,1,True,False,False,False,True,False,False,True,False,False,1-2 years,1,89.15,99.1,24.82,0,2,0,1486.5,1,0,1,0,1,Low Value New,0.2689661852058442,0,5145.9917,0.613903, Maintain / Monitor,Stable Customer,15
1,1,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Credit card (automatic),80.65,633.3,1,True,False,False,False,True,False,False,True,False,False,0-1 year,1,70.36666666666666,80.65,19.03,1,2,0,645.2,1,0,1,0,1,Low Value New,0.3005389939776158,0,582.2966,0.115161955, Maintain / Monitor,Stable Customer,16
1,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.45,1752.55,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,92.23947368421052,95.45,24.99,0,2,1,1718.1,1,0,1,0,1,Low Value New,0.2656444550539671,0,3703.6638,0.45627895, Maintain / Monitor,Stable Customer,17
0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,0,Electronic check,94.4,857.25,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,85.725,94.4,22.08,1,2,1,849.6,1,0,1,0,1,Low Value New,0.2823524973971494,0,737.7961,0.13215564, Maintain / Monitor,Stable Customer,18
0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,79.35,79.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.675,79.35,16.669999999999998,1,2,1,79.35,1,0,1,0,1,Low Value New,0.5752555593447598,1,293.79492,0.0836332, Maintain / Monitor,Stable Customer,19
0,1,1,1,No,Fiber optic,No,No,Yes,No,No,No,month-to-month,1,Bank transfer (automatic),75.15,496.9,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,62.1125,75.15,17.630000000000003,1,2,0,526.0500000000001,1,0,1,0,1,Low Value New,0.2855336580218389,0,461.92935,0.10200769, Maintain / Monitor,Stable Customer,20
0,0,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,month-to-month,1,Electronic check,78.95,927.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,71.33461538461539,78.95,19.89,1,2,1,947.4,1,0,1,0,1,Low Value New,0.2526869060278348,0,393.01923,0.09447688, Maintain / Monitor,Stable Customer,21
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Mailed check,21.05,113.85,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,18.975,21.05,6.21,1,2,0,105.25,0,0,1,0,2,At Risk Customers,0.1707669709375255,0,83.12174,0.060609892, Maintain / Monitor,Stable Customer,22
1,1,1,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,98.5,2514.5,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,96.71153846153848,98.5,27.700000000000003,0,2,1,2462.5,1,0,1,0,1,Low Value New,0.3077667832606432,0,3519.2913,0.43612987, Maintain / Monitor,Stable Customer,23
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,two year,1,Bank transfer (automatic),110.0,7611.85,1,False,False,True,False,True,False,True,False,False,False,4-6 years,1,110.31666666666668,110.0,42.9,0,0,0,7480.0,1,0,1,0,0,High Value Loyal,0.1780143461123375,0,7642.301,0.8867108, Upsell / Premium Offer,Loyal High Value,24
0,1,1,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,month-to-month,1,Electronic check,96.75,5238.9,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,93.55178571428571,96.75,36.35,0,2,1,5321.25,1,0,1,0,0,High Value Loyal,0.197635233498349,0,3911.841,0.4790295, Maintain / Monitor,Stable Customer,25
1,1,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,76.5,2868.15,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,75.47763157894737,76.5,26.9,0,2,1,2830.5,1,0,1,0,1,Low Value New,0.1498730591216517,0,2690.0796,0.34550992, Maintain / Monitor,Stable Customer,26
0,1,1,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,month-to-month,1,Electronic check,100.25,1064.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,96.78636363636365,100.25,23.55,1,2,1,1002.5,1,0,1,0,1,Low Value New,0.4195419051435114,1,926.2626,0.15275209, Maintain / Monitor,Stable Customer,27
0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,74.4,229.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,57.3875,74.4,16.28,1,2,1,223.2,1,0,1,0,1,Low Value New,0.3375715462287708,0,344.76184,0.08920309, Maintain / Monitor,Stable Customer,28
1,0,1,1,Yes,Fiber optic,No,No,Yes,No,No,No,month-to-month,1,Electronic check,78.05,2135.5,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,76.26785714285714,78.05,24.21,0,2,1,2107.35,1,0,1,0,1,Low Value New,0.1488768058094787,0,2336.2205,0.3068386, Maintain / Monitor,Stable Customer,29
0,1,0,0,No,DSL,Yes,Yes,Yes,No,Yes,Yes,month-to-month,1,Credit card (automatic),58.6,1502.65,1,True,False,False,True,False,False,False,True,False,False,2-4 years,0,57.79423076923077,58.6,19.22,0,2,0,1465.0,1,0,1,0,3,Premium Customers,0.5654913975248511,1,2465.8708,0.32100737, Maintain / Monitor,Stable Customer,30
0,0,0,0,No,DSL,No,No,No,No,No,Yes,month-to-month,1,Electronic check,35.45,35.45,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,17.725,35.45,7.390000000000001,1,2,1,35.45,1,0,1,0,3,Premium Customers,0.7430151171087253,1,141.05276,0.06694086, Retention Campaign (Email / Promotion),At-Risk Low Value,31
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,0,Electronic check,44.35,81.25,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,27.08333333333333,44.35,9.97,1,2,1,88.7,1,0,1,0,2,At Risk Customers,0.4551507388122407,1,120.75963,0.06472313, Maintain / Monitor,Stable Customer,32
1,1,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,70.45,70.45,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.225,70.45,14.890000000000002,1,2,0,70.45,1,0,1,0,1,Low Value New,0.4842235728244046,1,196.70146,0.073022395, Maintain / Monitor,Stable Customer,33
0,0,0,1,Yes,DSL,Yes,No,No,Yes,No,Yes,month-to-month,0,Electronic check,71.15,563.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,62.62777777777777,71.15,17.130000000000003,1,2,1,569.2,1,0,1,0,1,Low Value New,0.5126768767607464,1,274.773,0.081554405, Maintain / Monitor,Stable Customer,34
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,45.65,45.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,22.825,45.65,9.93,1,2,1,45.65,1,0,1,0,2,At Risk Customers,0.6080451256129062,1,119.73487,0.064611144, Retention Campaign (Email / Promotion),At-Risk Low Value,35
0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,0,Mailed check,95.0,655.5,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,81.9375,95.0,21.6,1,2,0,665.0,1,0,1,0,1,Low Value New,0.2597104705841764,0,600.70496,0.1171737, Maintain / Monitor,Stable Customer,36
0,1,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,month-to-month,0,Electronic check,82.4,1592.35,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,75.82619047619048,82.4,22.98,0,2,1,1648.0,1,0,1,0,1,Low Value New,0.1936036575172745,0,1707.6522,0.23814586, Maintain / Monitor,Stable Customer,37
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Bank transfer (automatic),70.9,273.0,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,54.6,70.9,15.88,1,2,0,283.6,1,0,1,0,1,Low Value New,0.2434215576382863,0,335.57977,0.08819964, Maintain / Monitor,Stable Customer,38
1,1,0,0,No,DSL,No,Yes,Yes,No,No,Yes,month-to-month,1,Electronic check,45.3,2651.2,1,True,False,False,True,False,False,False,False,True,False,4-6 years,0,44.93559322033898,45.3,26.46,0,2,1,2627.4,1,0,1,0,3,Premium Customers,0.3429041928405488,0,2032.0203,0.27359423, Maintain / Monitor,Stable Customer,39
0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,104.4,242.8,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,80.93333333333334,104.4,21.980000000000004,1,2,1,208.8,1,0,1,0,1,Low Value New,0.6522802255108142,1,-3.6238003,0.051129952, Retention Campaign (Email / Promotion),At-Risk Low Value,40
0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,one year,1,Bank transfer (automatic),94.85,5000.2,1,False,True,False,False,True,False,True,False,False,False,4-6 years,1,92.59629629629627,94.85,35.37,0,1,0,5027.049999999999,1,0,1,0,0,High Value Loyal,0.2750709062725082,0,5342.0815,0.6353325, Maintain / Monitor,Stable Customer,41
1,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,74.45,1145.7,1,True,False,False,False,True,False,False,False,False,True,1-2 years,1,71.60625,74.45,19.89,0,2,0,1116.75,1,0,1,0,1,Low Value New,0.1329267654709436,0,1435.3225,0.20838444, Maintain / Monitor,Stable Customer,42
1,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,month-to-month,0,Bank transfer (automatic),76.45,503.6,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,62.95,76.45,17.89,1,2,0,535.15,1,0,1,0,1,Low Value New,0.1866416850502455,0,269.59225,0.08098823, Maintain / Monitor,Stable Customer,43
0,0,0,0,No,DSL,No,Yes,No,No,No,No,month-to-month,0,Bank transfer (automatic),29.95,29.95,1,True,False,False,True,False,False,True,False,False,False,0-1 year,0,14.975,29.95,6.29,1,2,0,29.95,1,0,1,0,3,Premium Customers,0.5359548588185535,1,127.76203,0.06548839, Maintain / Monitor,Stable Customer,44
0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Bank transfer (automatic),84.5,662.65,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,73.62777777777778,84.5,19.8,1,2,0,676.0,1,0,1,0,1,Low Value New,0.1946760213804218,0,938.199,0.15405655, Maintain / Monitor,Stable Customer,45
0,0,1,1,No,Fiber optic,No,Yes,Yes,No,No,No,month-to-month,1,Electronic check,79.25,1111.65,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,79.40357142857144,79.25,20.25,0,2,1,1030.25,1,0,1,0,1,Low Value New,0.1782577101020607,0,1711.8223,0.23860157, Maintain / Monitor,Stable Customer,46
0,1,0,0,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,24.8,24.8,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,12.4,24.8,5.260000000000001,1,2,1,24.8,1,0,1,0,3,Premium Customers,0.7100318306496165,1,102.06466,0.062680066, Retention Campaign (Email / Promotion),At-Risk Low Value,47
0,1,1,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,month-to-month,1,Electronic check,91.0,531.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,75.85714285714286,91.0,20.5,1,2,1,546.0,1,0,1,0,1,Low Value New,0.4783373331698422,1,685.4798,0.12643827, Maintain / Monitor,Stable Customer,48
0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Electronic check,79.9,79.9,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.95,79.9,16.78,1,2,1,79.9,1,0,1,0,1,Low Value New,0.491752482955436,1,232.41898,0.07692576, Maintain / Monitor,Stable Customer,49
0,0,1,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,106.6,1934.45,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,96.7225,106.6,27.52,0,2,1,2025.4,1,0,1,0,1,Low Value New,0.3677059248715728,1,3726.273,0.45874974, Maintain / Monitor,Stable Customer,50
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),46.0,84.5,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,28.166666666666668,46.0,10.3,1,2,0,92.0,1,0,1,0,2,At Risk Customers,0.4801143957064149,1,130.75142,0.06581508, Maintain / Monitor,Stable Customer,51
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.15,268.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,53.67,70.15,15.73,1,2,1,280.6,1,0,1,0,1,Low Value New,0.3046189765749798,0,329.92526,0.08758169, Maintain / Monitor,Stable Customer,52
0,1,0,1,No,DSL,No,No,No,Yes,No,No,month-to-month,0,Mailed check,50.05,179.35,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,35.87,50.05,11.71,1,2,0,200.2,1,0,1,0,2,At Risk Customers,0.4427683517649526,1,226.05814,0.07623062, Maintain / Monitor,Stable Customer,53
0,1,0,1,No,DSL,No,No,No,No,Yes,No,month-to-month,0,Mailed check,55.2,55.2,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,27.6,55.2,11.840000000000002,1,2,0,55.2,1,0,1,0,2,At Risk Customers,0.6127454219077123,1,313.8138,0.08582096, Retention Campaign (Email / Promotion),At-Risk Low Value,54
0,0,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,month-to-month,1,Mailed check,84.6,84.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,42.3,84.6,17.72,1,2,0,84.6,1,0,1,0,1,Low Value New,0.5516245628948212,1,559.82,0.11270562, Maintain / Monitor,Stable Customer,55
0,0,0,1,Yes,DSL,No,Yes,No,No,No,No,month-to-month,1,Mailed check,54.4,114.1,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,38.03333333333333,54.4,11.98,1,2,0,108.8,1,0,1,0,2,At Risk Customers,0.5202756483811279,1,269.5898,0.08098796, Maintain / Monitor,Stable Customer,56
1,0,1,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,month-to-month,1,Electronic check,95.0,1120.3,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,93.35833333333332,95.0,22.8,1,2,1,1045.0,1,0,1,0,1,Low Value New,0.3119402825829489,0,827.0544,0.14191018, Maintain / Monitor,Stable Customer,57
1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,74.4,1074.3,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,67.14375,74.4,19.880000000000003,0,2,1,1116.0,1,0,1,0,1,Low Value New,0.5443297126846082,1,1542.4304,0.22008967, Maintain / Monitor,Stable Customer,58
0,0,0,1,No,DSL,Yes,No,No,No,No,No,month-to-month,1,Mailed check,48.55,48.55,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,24.275,48.55,10.510000000000002,1,2,0,48.55,1,0,1,0,2,At Risk Customers,0.5602319767137487,1,155.50273,0.06852001, Maintain / Monitor,Stable Customer,59
0,1,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,70.4,147.15,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,49.05,70.4,15.18,1,2,1,140.8,1,0,1,0,1,Low Value New,0.7141914751168456,1,74.61927,0.059680708, Retention Campaign (Email / Promotion),At-Risk Low Value,60
1,1,0,0,No,DSL,No,Yes,No,No,Yes,No,month-to-month,0,Electronic check,40.2,40.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,20.1,40.2,8.340000000000002,1,2,1,40.2,1,0,1,0,3,Premium Customers,0.7760794781287672,1,40.829227,0.05598798, Retention Campaign (Email / Promotion),At-Risk Low Value,61
0,1,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),44.6,80.55,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,26.85,44.6,10.02,1,2,0,89.2,1,0,1,0,2,At Risk Customers,0.5431804535603566,1,214.15764,0.07493008, Maintain / Monitor,Stable Customer,62
1,0,0,0,No,DSL,No,No,Yes,No,No,Yes,month-to-month,1,Electronic check,41.15,132.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,33.05,41.15,9.13,1,2,1,123.45,1,0,1,0,3,Premium Customers,0.7010819990892662,1,71.283424,0.05931615, Retention Campaign (Email / Promotion),At-Risk Low Value,63
1,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,106.9,1364.3,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,97.45,106.9,25.78,0,2,1,1389.7,1,0,1,0,1,Low Value New,0.7654018161283294,1,2339.2324,0.30716777, Retention Campaign (Email / Promotion),At-Risk Low Value,64
0,0,0,1,No,No,No,No,No,No,No,No,two year,0,Mailed check,19.35,1099.6,1,False,False,True,False,False,True,False,False,False,True,4-6 years,1,18.326666666666664,19.35,22.07,0,0,0,1141.65,0,0,1,0,2,At Risk Customers,0.0063575557390821,0,964.6828,0.15695083, Maintain / Monitor,Stable Customer,65
1,0,0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,month-to-month,1,Electronic check,94.45,1511.2,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,88.89411764705882,94.45,24.19,0,2,1,1511.2,1,0,1,0,1,Low Value New,0.6579608449378683,1,2429.1387,0.31699312, Retention Campaign (Email / Promotion),At-Risk Low Value,66
0,0,0,0,No,DSL,No,No,No,No,No,No,month-to-month,0,Bank transfer (automatic),24.8,24.8,1,True,False,False,True,False,False,True,False,False,False,0-1 year,0,12.4,24.8,5.260000000000001,1,2,0,24.8,1,0,1,0,3,Premium Customers,0.4807413898131332,1,55.647804,0.05760742, Maintain / Monitor,Stable Customer,67
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Mailed check,70.6,70.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.3,70.6,14.92,1,2,0,70.6,1,0,1,0,1,Low Value New,0.6961418430533327,1,235.06778,0.07721524, Retention Campaign (Email / Promotion),At-Risk Low Value,68
0,1,0,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,month-to-month,1,Electronic check,85.4,401.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,66.85000000000001,85.4,19.08,1,2,1,427.0,1,0,1,0,1,Low Value New,0.8162893237733088,1,678.9574,0.12572548, Retention Campaign (Email / Promotion),At-Risk Low Value,69
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,105.05,5624.85,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,106.12924528301888,105.05,37.11,0,2,1,5462.599999999999,1,0,1,0,0,High Value Loyal,0.5962278514077692,1,5172.7876,0.61683136, Maintain / Monitor,Stable Customer,70
0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,0,Mailed check,95.15,1779.95,1,True,False,False,False,True,False,False,False,False,True,1-2 years,1,93.68157894736842,95.15,24.93,0,2,0,1712.7,1,0,1,0,1,Low Value New,0.5156206305353793,1,2216.1472,0.29371646, Maintain / Monitor,Stable Customer,71
0,1,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,70.0,70.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,35.0,70.0,14.8,1,2,1,70.0,1,0,1,0,1,Low Value New,0.8046953229542717,1,157.31541,0.068718106, Retention Campaign (Email / Promotion),At-Risk Low Value,72
1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,74.5,606.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,67.39444444444445,74.5,17.8,1,2,1,596.0,1,0,1,0,1,Low Value New,0.6214649450711305,1,424.823,0.09795253, Retention Campaign (Email / Promotion),At-Risk Low Value,73
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),44.85,435.4,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,39.58181818181818,44.85,12.47,1,2,0,448.5,1,0,1,0,2,At Risk Customers,0.3160655977462408,0,165.40744,0.069602445, Maintain / Monitor,Stable Customer,74
1,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,76.1,1712.7,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,68.508,76.1,22.92,0,2,1,1826.4,1,0,1,0,1,Low Value New,0.5094114320567104,1,2079.3823,0.27877018, Maintain / Monitor,Stable Customer,75
0,0,0,1,No,Fiber optic,Yes,No,No,No,No,No,month-to-month,1,Mailed check,73.6,73.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,36.8,73.6,15.52,1,2,0,73.6,1,0,1,0,1,Low Value New,0.7888069535057255,1,402.3908,0.09550105, Retention Campaign (Email / Promotion),At-Risk Low Value,76
1,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.45,396.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,79.22,95.45,20.79,1,2,1,381.8,1,0,1,0,1,Low Value New,0.8091122396484218,1,616.6207,0.11891305, Retention Campaign (Email / Promotion),At-Risk Low Value,77
