Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,service_count,avg_monthly_value,value_change,revenue_per_month,engagement_score,is_new_customer,contract_risk,payment_risk,monthly_x_tenure,has_internet,has_family,low_engagement,high_risk
0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,0,Electronic check,94.4,857.25,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,85.725,8.675000000000011,94.4,22.080000000000002,1,2,1,849.6,1,0,1,1
0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,79.35,79.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.675,39.675,79.35,16.669999999999998,1,2,1,79.35,1,0,1,1
0,1,1,1,No,Fiber optic,No,No,Yes,No,No,No,month-to-month,1,Bank transfer (automatic),75.15,496.9,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,62.1125,13.037500000000009,75.15,17.630000000000003,1,2,0,526.0500000000001,1,0,1,1
0,0,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,month-to-month,1,Electronic check,78.95,927.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,71.33461538461539,7.615384615384613,78.95,19.89,1,2,1,947.4000000000001,1,0,1,0
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Mailed check,21.05,113.85,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,18.974999999999998,2.075000000000003,21.05,6.21,1,2,0,105.25,0,0,1,1
1,1,1,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,98.5,2514.5,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,96.71153846153847,1.788461538461533,98.5,27.700000000000003,0,2,1,2462.5,1,0,1,0
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,two year,1,Bank transfer (automatic),110.0,7611.85,1,False,False,True,False,True,False,True,False,False,False,4-6 years,1,110.31666666666668,-0.3166666666666771,110.0,42.9,0,0,0,7480.0,1,0,1,0
0,1,1,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,month-to-month,1,Electronic check,96.75,5238.9,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,93.55178571428571,3.198214285714286,96.75,36.35,0,2,1,5321.25,1,0,1,0
1,1,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,76.5,2868.15,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,75.47763157894737,1.022368421052633,76.5,26.9,0,2,1,2830.5,1,0,1,0
0,1,1,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,month-to-month,1,Electronic check,100.25,1064.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,96.78636363636365,3.463636363636354,100.25,23.55,1,2,1,1002.5,1,0,1,1
0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,74.4,229.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,57.3875,17.012500000000003,74.4,16.28,1,2,1,223.20000000000002,1,0,1,1
1,0,1,1,Yes,Fiber optic,No,No,Yes,No,No,No,month-to-month,1,Electronic check,78.05,2135.5,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,76.26785714285714,1.7821428571428584,78.05,24.21,0,2,1,2107.35,1,0,1,0
0,1,0,0,No,DSL,Yes,Yes,Yes,No,Yes,Yes,month-to-month,1,Credit card (automatic),58.6,1502.65,1,True,False,False,True,False,False,False,True,False,False,2-4 years,0,57.79423076923077,0.8057692307692292,58.6,19.22,0,2,0,1465.0,1,0,1,0
0,0,0,0,No,DSL,No,No,No,No,No,Yes,month-to-month,1,Electronic check,35.45,35.45,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,17.725,17.725,35.45,7.390000000000001,1,2,1,35.45,1,0,1,1
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,0,Electronic check,44.35,81.25,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,27.083333333333332,17.26666666666667,44.35,9.97,1,2,1,88.7,1,0,1,1
1,1,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,70.45,70.45,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.225,35.225,70.45,14.890000000000002,1,2,0,70.45,1,0,1,1
0,0,0,1,Yes,DSL,Yes,No,No,Yes,No,Yes,month-to-month,0,Electronic check,71.15,563.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,62.62777777777777,8.522222222222233,71.15,17.130000000000003,1,2,1,569.2,1,0,1,1
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,45.65,45.65,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,22.825,22.825,45.65,9.930000000000001,1,2,1,45.65,1,0,1,1
0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,0,Mailed check,95.0,655.5,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,81.9375,13.0625,95.0,21.6,1,2,0,665.0,1,0,1,1
0,1,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,month-to-month,0,Electronic check,82.4,1592.35,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,75.82619047619048,6.57380952380953,82.4,22.98,0,2,1,1648.0,1,0,1,0
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Bank transfer (automatic),70.9,273.0,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,54.6,16.300000000000004,70.9,15.88,1,2,0,283.6,1,0,1,1
1,1,0,0,No,DSL,No,Yes,Yes,No,No,Yes,month-to-month,1,Electronic check,45.3,2651.2,1,True,False,False,True,False,False,False,False,True,False,4-6 years,0,44.93559322033898,0.3644067796610173,45.3,26.46,0,2,1,2627.3999999999996,1,0,1,0
0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,104.4,242.8,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,80.93333333333334,23.46666666666667,104.4,21.980000000000004,1,2,1,208.8,1,0,1,1
0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,one year,1,Bank transfer (automatic),94.85,5000.2,1,False,True,False,False,True,False,True,False,False,False,4-6 years,1,92.59629629629629,2.2537037037037067,94.85,35.37,0,1,0,5027.049999999999,1,0,1,0
1,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,74.45,1145.7,1,True,False,False,False,True,False,False,False,False,True,1-2 years,1,71.60625,2.84375,74.45,19.89,0,2,0,1116.75,1,0,1,0
1,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,month-to-month,0,Bank transfer (automatic),76.45,503.6,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,62.95,13.5,76.45,17.89,1,2,0,535.15,1,0,1,1
0,0,0,0,No,DSL,No,Yes,No,No,No,No,month-to-month,0,Bank transfer (automatic),29.95,29.95,1,True,False,False,True,False,False,True,False,False,False,0-1 year,0,14.975,14.975,29.95,6.29,1,2,0,29.95,1,0,1,1
0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Bank transfer (automatic),84.5,662.65,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,73.62777777777778,10.87222222222222,84.5,19.8,1,2,0,676.0,1,0,1,1
0,0,1,1,No,Fiber optic,No,Yes,Yes,No,No,No,month-to-month,1,Electronic check,79.25,1111.65,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,79.40357142857144,-0.15357142857143913,79.25,20.25,0,2,1,1030.25,1,0,1,0
0,1,0,0,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,24.8,24.8,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,12.4,12.4,24.8,5.260000000000001,1,2,1,24.8,1,0,1,1
0,1,1,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,month-to-month,1,Electronic check,91.0,531.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,75.85714285714286,15.142857142857139,91.0,20.5,1,2,1,546.0,1,0,1,1
0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Electronic check,79.9,79.9,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.95,39.95,79.9,16.78,1,2,1,79.9,1,0,1,1
0,0,1,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,106.6,1934.45,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,96.7225,9.877499999999998,106.6,27.52,0,2,1,2025.3999999999999,1,0,1,0
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),46.0,84.5,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,28.166666666666668,17.833333333333332,46.0,10.3,1,2,0,92.0,1,0,1,1
0,0,1,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.15,268.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,53.67,16.480000000000004,70.15,15.73,1,2,1,280.6,1,0,1,1
0,1,0,1,No,DSL,No,No,No,Yes,No,No,month-to-month,0,Mailed check,50.05,179.35,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,35.87,14.18,50.05,11.709999999999999,1,2,0,200.2,1,0,1,1
0,1,0,1,No,DSL,No,No,No,No,Yes,No,month-to-month,0,Mailed check,55.2,55.2,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,27.6,27.6,55.2,11.840000000000002,1,2,0,55.2,1,0,1,1
0,0,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,month-to-month,1,Mailed check,84.6,84.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,42.3,42.3,84.6,17.72,1,2,0,84.6,1,0,1,1
0,0,0,1,Yes,DSL,No,Yes,No,No,No,No,month-to-month,1,Mailed check,54.4,114.1,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,38.03333333333333,16.366666666666667,54.4,11.98,1,2,0,108.8,1,0,1,1
1,0,1,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,month-to-month,1,Electronic check,95.0,1120.3,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,93.35833333333333,1.6416666666666657,95.0,22.8,1,2,1,1045.0,1,0,1,1
1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,74.4,1074.3,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,67.14375,7.2562500000000085,74.4,19.880000000000003,0,2,1,1116.0,1,0,1,0
0,0,0,1,No,DSL,Yes,No,No,No,No,No,month-to-month,1,Mailed check,48.55,48.55,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,24.275,24.275,48.55,10.510000000000002,1,2,0,48.55,1,0,1,1
0,1,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,70.4,147.15,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,49.050000000000004,21.35,70.4,15.180000000000001,1,2,1,140.8,1,0,1,1
1,1,0,0,No,DSL,No,Yes,No,No,Yes,No,month-to-month,0,Electronic check,40.2,40.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,20.1,20.1,40.2,8.340000000000002,1,2,1,40.2,1,0,1,1
0,1,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),44.6,80.55,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,26.849999999999998,17.750000000000004,44.6,10.02,1,2,0,89.2,1,0,1,1
1,0,0,0,No,DSL,No,No,Yes,No,No,Yes,month-to-month,1,Electronic check,41.15,132.2,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,33.05,8.100000000000001,41.15,9.13,1,2,1,123.44999999999999,1,0,1,1
1,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,106.9,1364.3,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,97.45,9.450000000000003,106.9,25.78,0,2,1,1389.7,1,0,1,0
0,0,0,1,No,No,No,No,No,No,No,No,two year,0,Mailed check,19.35,1099.6,1,False,False,True,False,False,True,False,False,False,True,4-6 years,1,18.326666666666664,1.023333333333337,19.35,22.07,0,0,0,1141.65,0,0,1,0
1,0,0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,month-to-month,1,Electronic check,94.45,1511.2,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,88.89411764705882,5.5558823529411825,94.45,24.19,0,2,1,1511.2,1,0,1,0
0,0,0,0,No,DSL,No,No,No,No,No,No,month-to-month,0,Bank transfer (automatic),24.8,24.8,1,True,False,False,True,False,False,True,False,False,False,0-1 year,0,12.4,12.4,24.8,5.260000000000001,1,2,0,24.8,1,0,1,1
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Mailed check,70.6,70.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.3,35.3,70.6,14.92,1,2,0,70.6,1,0,1,1
0,1,0,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,month-to-month,1,Electronic check,85.4,401.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,66.85000000000001,18.549999999999997,85.4,19.080000000000002,1,2,1,427.0,1,0,1,1
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,105.05,5624.85,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,106.12924528301888,-1.079245283018878,105.05,37.11,0,2,1,5462.599999999999,1,0,1,0
0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,0,Mailed check,95.15,1779.95,1,True,False,False,False,True,False,False,False,False,True,1-2 years,1,93.68157894736842,1.4684210526315837,95.15,24.93,0,2,0,1712.7,1,0,1,0
0,1,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,70.0,70.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,35.0,35.0,70.0,14.8,1,2,1,70.0,1,0,1,1
1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,74.5,606.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,67.39444444444445,7.105555555555554,74.5,17.8,1,2,1,596.0,1,0,1,1
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Credit card (automatic),44.85,435.4,1,True,False,False,True,False,False,False,True,False,False,0-1 year,1,39.58181818181818,5.268181818181823,44.85,12.47,1,2,0,448.5,1,0,1,1
1,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,76.1,1712.7,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,68.508,7.591999999999999,76.1,22.919999999999998,0,2,1,1826.3999999999999,1,0,1,0
0,0,0,1,No,Fiber optic,Yes,No,No,No,No,No,month-to-month,1,Mailed check,73.6,73.6,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,36.8,36.8,73.6,15.52,1,2,0,73.6,1,0,1,1
1,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.45,396.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,79.22,16.230000000000004,95.45,20.79,1,2,1,381.8,1,0,1,1
1,1,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,74.9,2303.35,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,69.79848484848485,5.101515151515159,74.9,25.080000000000002,0,2,1,2396.8,1,0,1,0
0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,80.6,415.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,69.25833333333334,11.341666666666654,80.6,18.12,1,2,1,403.0,1,0,1,1
0,1,0,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,one year,0,Credit card (automatic),80.3,3058.65,1,False,True,False,True,False,False,False,True,False,False,2-4 years,1,78.42692307692307,1.8730769230769226,80.3,27.96,0,1,0,3051.4,1,0,1,0
1,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,93.15,2231.05,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,89.242,3.9080000000000013,93.15,26.330000000000002,0,2,1,2235.6000000000004,1,0,1,0
1,0,0,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,one year,0,Bank transfer (automatic),82.45,4350.1,1,False,True,False,True,False,False,True,False,False,False,4-6 years,1,79.09272727272727,3.357272727272729,82.45,33.19,0,1,0,4452.3,1,0,1,0
1,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.35,139.05,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,46.35,23.999999999999993,70.35,15.17,1,2,1,140.7,1,0,1,1
0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,73.85,511.25,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,63.90625,9.943749999999994,73.85,17.37,1,2,1,516.9499999999999,1,0,1,1
0,0,0,1,Yes,Fiber optic,No,No,Yes,No,No,No,month-to-month,0,Mailed check,80.6,155.8,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,51.93333333333334,28.666666666666657,80.6,17.220000000000002,1,2,0,161.2,1,0,1,1
0,1,0,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,one year,1,Bank transfer (automatic),75.8,5293.95,1,False,True,False,True,False,False,True,False,False,False,4-6 years,1,76.72391304347826,-0.9239130434782652,75.8,36.06,0,1,0,5154.4,1,0,1,0
0,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,two year,1,Electronic check,104.6,4759.85,1,False,False,True,False,True,False,False,False,True,False,2-4 years,1,108.1784090909091,-3.578409090909105,104.6,34.32,0,0,1,4497.8,1,0,1,0
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,103.4,6603.0,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,103.171875,0.22812500000000568,103.4,40.08,0,2,1,6514.200000000001,1,0,1,0
0,0,0,1,No,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,90.4,168.2,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,56.06666666666666,34.33333333333334,90.4,19.180000000000003,1,2,1,180.8,1,0,1,1
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,month-to-month,1,Bank transfer (automatic),84.8,371.9,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,74.38,10.420000000000002,84.8,18.66,1,2,0,339.2,1,0,1,1
1,0,0,0,No,DSL,Yes,No,No,No,Yes,No,month-to-month,1,Electronic check,41.9,840.1,1,True,False,False,True,False,False,False,False,True,False,1-2 years,0,38.18636363636364,3.713636363636361,41.9,14.68,0,2,1,879.9,1,0,1,0
0,0,0,1,No,Fiber optic,No,No,No,No,No,Yes,month-to-month,1,Bank transfer (automatic),80.25,846.0,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,76.9090909090909,3.3409090909090935,80.25,19.55,1,2,0,802.5,1,0,1,1
1,1,0,0,No,DSL,Yes,No,No,No,No,No,month-to-month,0,Credit card (automatic),30.75,805.1,1,True,False,False,True,False,False,False,True,False,False,2-4 years,0,28.75357142857143,1.99642857142857,30.75,14.25,0,2,0,830.25,1,0,1,0
0,0,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,0,Bank transfer (automatic),96.5,492.55,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,82.09166666666667,14.408333333333331,96.5,21.3,1,2,0,482.5,1,0,1,1
0,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,85.65,181.5,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,60.5,25.150000000000006,85.65,18.230000000000004,1,2,1,171.3,1,0,1,1
0,1,0,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,month-to-month,1,Bank transfer (automatic),104.95,2566.5,1,True,False,False,False,True,False,True,False,False,False,2-4 years,1,98.71153846153847,6.238461538461536,104.95,28.990000000000002,0,2,0,2623.75,1,0,1,0
0,0,0,1,No,DSL,No,Yes,No,No,No,No,month-to-month,0,Mailed check,50.65,50.65,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,25.325,25.325,50.65,10.930000000000001,1,2,0,50.65,1,0,1,1
0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,month-to-month,1,Credit card (automatic),90.85,90.85,1,True,False,False,False,True,False,False,True,False,False,0-1 year,1,45.425,45.425,90.85,18.97,1,2,0,90.85,1,0,1,1
1,1,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Mailed check,19.95,214.75,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,17.895833333333332,2.054166666666667,19.95,7.79,1,2,0,219.45,0,0,1,1
1,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,month-to-month,1,Electronic check,85.45,4874.7,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,87.04821428571428,-1.5982142857142776,85.45,34.09,0,2,1,4699.75,1,0,1,0
0,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Credit card (automatic),73.95,2524.45,1,True,False,False,False,True,False,False,True,False,False,2-4 years,1,72.12714285714286,1.8228571428571456,73.95,25.490000000000002,0,2,0,2514.3,1,0,1,0
0,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Credit card (automatic),99.45,7007.6,1,True,False,False,False,True,False,False,True,False,False,4-6 years,1,100.10857142857144,-0.6585714285714346,99.45,41.09,0,2,0,6862.05,1,0,1,0
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,1,Mailed check,19.9,19.9,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,9.95,9.95,19.9,4.78,1,2,0,19.9,0,0,1,1
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,1,Mailed check,19.6,19.6,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,9.8,9.8,19.6,4.720000000000001,1,2,0,19.6,0,0,1,1
